U=0.15,ANTWF=0.044,Med=0.501,Min=0.044,Avg=0.497
U=0.32,ANTWF=0.996,Med=0.994,Min=0.990,Avg=0.995
U=0.45,ANTWF=0.075,Med=0.915,Min=0.075,Avg=0.648
U=0.64,ANTWF=0.983,Med=0.957,Min=0.900,Avg=0.959
U=0.73,ANTWF=0.943,Med=0.861,Min=0.796,Avg=0.902
U=0.92,ANTWF=1.000,Med=0.690,Min=0.483,Avg=0.718
U=1.15,ANTWF=1.000,Med=0.433,Min=0.332,Avg=0.546
U=1.36,ANTWF=0.750,Med=0.735,Min=0.614,Avg=0.786
U=1.28,ANTWF=1.000,Med=0.875,Min=0.749,Avg=0.880
U=1.58,ANTWF=1.000,Med=0.666,Min=0.499,Avg=0.727
U=1.61,ANTWF=0.667,Med=0.833,Min=0.600,Avg=0.795
U=1.85,ANTWF=0.000,Med=0.750,Min=0.000,Avg=0.538
U=1.90,ANTWF=1.000,Med=0.749,Min=0.623,Avg=0.776
U=2.04,ANTWF=1.000,Med=0.750,Min=0.499,Avg=0.719
U=2.15,ANTWF=1.000,Med=0.501,Min=0.112,Avg=0.588
U=2.50,ANTWF=1.000,Med=0.502,Min=0.499,Avg=0.667
U=2.42,ANTWF=1.000,Med=0.667,Min=0.500,Avg=0.690
U=0.15,ANTWF=0.954,Med=0.933,Min=0.902,Avg=0.939
U=0.31,ANTWF=1.000,Med=0.691,Min=0.334,Avg=0.665
U=0.47,ANTWF=1.000,Med=0.501,Min=0.497,Avg=0.678
U=0.62,ANTWF=1.000,Med=0.934,Min=0.886,Avg=0.937
U=0.74,ANTWF=1.000,Med=0.874,Min=0.791,Avg=0.887
U=1.00,ANTWF=0.000,Med=0.502,Min=0.000,Avg=0.641
U=0.99,ANTWF=1.000,Med=0.906,Min=0.851,Avg=0.929
U=1.25,ANTWF=1.000,Med=0.500,Min=0.497,Avg=0.611
U=1.30,ANTWF=0.000,Med=0.500,Min=0.000,Avg=0.578
U=1.61,ANTWF=0.000,Med=0.749,Min=0.000,Avg=0.704
U=1.78,ANTWF=0.000,Med=0.607,Min=0.000,Avg=0.644
U=1.93,ANTWF=1.000,Med=0.725,Min=0.499,Avg=0.761
U=2.01,ANTWF=0.000,Med=0.654,Min=0.000,Avg=0.597
U=2.38,ANTWF=1.000,Med=0.501,Min=0.499,Avg=0.656
U=2.37,ANTWF=0.000,Med=0.995,Min=0.000,Avg=0.665
U=2.23,ANTWF=0.667,Med=0.667,Min=0.500,Avg=0.667
U=2.67,ANTWF=1.000,Med=1.000,Min=1.000,Avg=1.000
U=0.16,ANTWF=0.842,Med=0.854,Min=0.663,Avg=0.844
U=0.30,ANTWF=0.689,Med=0.501,Min=0.034,Avg=0.530
U=0.45,ANTWF=1.000,Med=0.351,Min=0.242,Avg=0.528
U=0.65,ANTWF=0.000,Med=0.431,Min=0.000,Avg=0.550
U=0.77,ANTWF=0.974,Med=0.920,Min=0.872,Avg=0.936
U=0.95,ANTWF=1.000,Med=0.976,Min=0.926,Avg=0.973
U=0.93,ANTWF=1.000,Med=0.503,Min=0.000,Avg=0.622
U=1.23,ANTWF=0.800,Med=0.787,Min=0.692,Avg=0.817
U=1.35,ANTWF=1.000,Med=0.825,Min=0.715,Avg=0.843
U=1.50,ANTWF=1.000,Med=0.751,Min=0.666,Avg=0.788
U=1.68,ANTWF=0.000,Med=0.799,Min=0.000,Avg=0.697
U=1.72,ANTWF=1.000,Med=0.501,Min=0.222,Avg=0.574
U=1.98,ANTWF=0.667,Med=0.578,Min=0.500,Avg=0.683
U=2.07,ANTWF=0.667,Med=0.667,Min=0.499,Avg=0.729
U=2.33,ANTWF=0.500,Med=0.750,Min=0.500,Avg=0.700
U=2.26,ANTWF=0.500,Med=0.998,Min=0.500,Avg=0.812
U=2.07,ANTWF=0.000,Med=0.750,Min=0.000,Avg=0.558
U=0.14,ANTWF=1.000,Med=0.723,Min=0.504,Avg=0.735
U=0.30,ANTWF=1.000,Med=0.360,Min=0.332,Avg=0.594
U=0.45,ANTWF=1.000,Med=0.899,Min=0.496,Avg=0.785
U=0.60,ANTWF=1.000,Med=0.859,Min=0.841,Avg=0.892
U=0.79,ANTWF=1.000,Med=0.501,Min=0.498,Avg=0.658
U=0.95,ANTWF=0.500,Med=0.501,Min=0.036,Avg=0.582
U=1.07,ANTWF=1.000,Med=0.770,Min=0.688,Avg=0.828
U=1.20,ANTWF=1.000,Med=0.768,Min=0.000,Avg=0.655
U=1.57,ANTWF=1.000,Med=0.725,Min=0.499,Avg=0.710
U=1.55,ANTWF=0.667,Med=0.526,Min=0.248,Avg=0.585
U=1.75,ANTWF=1.000,Med=0.501,Min=0.498,Avg=0.667
U=1.87,ANTWF=1.000,Med=1.000,Min=0.333,Avg=0.708
U=1.95,ANTWF=1.000,Med=1.000,Min=0.500,Avg=0.833
U=2.11,ANTWF=0.000,Med=0.500,Min=0.000,Avg=0.421
U=2.50,ANTWF=1.000,Med=0.500,Min=0.498,Avg=0.600
U=2.33,ANTWF=1.000,Med=0.833,Min=0.499,Avg=0.742
U=2.17,ANTWF=0.000,Med=0.499,Min=0.000,Avg=0.379
U=0.15,ANTWF=0.441,Med=0.681,Min=0.441,Avg=0.725
U=0.32,ANTWF=0.888,Med=0.864,Min=0.496,Avg=0.782
U=0.47,ANTWF=1.000,Med=0.130,Min=0.120,Avg=0.370
U=0.65,ANTWF=1.000,Med=0.963,Min=0.952,Avg=0.970
U=0.82,ANTWF=0.667,Med=0.718,Min=0.255,Avg=0.745
U=0.91,ANTWF=1.000,Med=0.739,Min=0.329,Avg=0.701
U=1.08,ANTWF=0.000,Med=0.500,Min=0.000,Avg=0.600
U=1.25,ANTWF=1.000,Med=0.661,Min=0.498,Avg=0.706
U=1.33,ANTWF=1.000,Med=0.980,Min=0.967,Avg=0.984
U=1.54,ANTWF=0.500,Med=0.692,Min=0.500,Avg=0.704
U=1.90,ANTWF=0.600,Med=0.700,Min=0.600,Avg=0.734
U=1.85,ANTWF=1.000,Med=0.334,Min=0.000,Avg=0.458
U=1.96,ANTWF=0.000,Med=0.500,Min=0.000,Avg=0.625
U=1.95,ANTWF=1.000,Med=0.776,Min=0.699,Avg=0.822
U=2.22,ANTWF=1.000,Med=0.739,Min=0.667,Avg=0.769
U=2.37,ANTWF=1.000,Med=1.000,Min=0.699,Avg=0.900
U=2.48,ANTWF=1.000,Med=1.000,Min=0.624,Avg=0.875
U=0.15,ANTWF=1.000,Med=0.817,Min=0.702,Avg=0.830
U=0.30,ANTWF=0.975,Med=0.949,Min=0.937,Avg=0.962
U=0.48,ANTWF=0.050,Med=0.641,Min=0.050,Avg=0.590
U=0.63,ANTWF=1.000,Med=0.866,Min=0.808,Avg=0.881
U=0.79,ANTWF=1.000,Med=0.939,Min=0.803,Avg=0.924
U=0.94,ANTWF=1.000,Med=0.481,Min=0.000,Avg=0.496
U=1.07,ANTWF=1.000,Med=0.503,Min=0.497,Avg=0.683
U=1.22,ANTWF=0.667,Med=0.699,Min=0.333,Avg=0.729
U=1.28,ANTWF=0.000,Med=0.576,Min=0.000,Avg=0.623
